keep_ratio,method,epoch,precision
80,dve,1,0.44
80,dve,2,0.46
80,dve,3,0.46
80,dve,4,0.460176991
80,dve,5,0.450717119
80,dve,6,0.452548062
80,dve,7,0.471467806
80,dve,8,0.49
80,dve,9,0.5
70,tim,1,0.479454841
70,tim,2,0.489625712
70,tim,3,0.520951993
70,tim,4,0.533970708
70,tim,5,0.537225386
70,tim,6,0.507323027
70,tim,7,0.557770545
70,tim,8,0.599471115
70,tim,9,0.601708706
50,dve,1,0.35
50,dve,2,0.41
50,dve,3,0.45
50,dve,4,0.472900391
50,dve,5,0.473876953
50,dve,6,0.473999023
50,dve,7,0.487792969
50,dve,8,0.488769531
50,dve,9,0.491088867
60,tim,1,0.477723528
60,tim,2,0.483368935
60,tim,3,0.493439121
60,tim,4,0.506866036
60,tim,5,0.511290815
60,tim,6,0.520598108
60,tim,7,0.525175465
60,tim,8,0.546383888
60,tim,9,0.549740616
50,tim,1,0.489624023
50,tim,2,0.495849609
50,tim,3,0.49621582
50,tim,4,0.496948242
50,tim,5,0.497680664
50,tim,6,0.498168945
50,tim,7,0.498657227
50,tim,8,0.498779297
50,tim,9,0.501708984
60,dve,1,0.410283796
60,dve,2,0.456972841
60,dve,3,0.483826671
60,dve,4,0.461702777
60,dve,5,0.46460177
60,dve,6,0.449038755
60,dve,7,0.466127556
60,dve,8,0.459719255
60,dve,9,0.46353372
70,dve,1,0.44
70,dve,2,0.483116355
70,dve,3,0.48189585
70,dve,4,0.457485761
70,dve,5,0.459519935
70,dve,6,0.446297803
70,dve,7,0.465012205
70,dve,8,0.450569569
70,dve,9,0.451586656
80,tim,1,0.500762893
80,tim,2,0.503814464
80,tim,3,0.542264266
80,tim,4,0.542569423
80,tim,5,0.547757095
80,tim,6,0.570949039
80,tim,7,0.624656698
80,tim,8,0.655172414
80,tim,9,0.657613671
50,lava,1,0.39987793
50,lava,2,0.42
50,lava,3,0.33
50,lava,4,0.31
50,lava,5,0.29
50,lava,6,0.41
50,lava,7,0.36
50,lava,8,0.22
50,lava,9,0.37
70,lava,1,0.44
70,lava,2,0.46
70,lava,3,0.47
70,lava,4,0.42
70,lava,5,0.48
70,lava,6,0.41
70,lava,7,0.39
70,lava,8,0.42
70,lava,9,0.41
50,icml,1,0.33
50,icml,2,0.35
50,icml,3,0.31
50,icml,4,0.34
50,icml,5,0.37
50,icml,6,0.36
50,icml,7,0.36
50,icml,8,0.35
50,icml,9,0.3
60,icml,1,0.41
60,icml,2,0.36
60,icml,3,0.38
60,icml,4,0.33
60,icml,5,0.39
60,icml,6,0.42
60,icml,7,0.41
60,icml,8,0.37
60,icml,9,0.43
60,lava,1,0.31
60,lava,2,0.28
60,lava,3,0.35
60,lava,4,0.36
60,lava,5,0.33
60,lava,6,0.29
60,lava,7,0.37
60,lava,8,0.27
60,lava,9,0.37
70,icml,1,0.42
70,icml,2,0.44
70,icml,3,0.44
70,icml,4,0.41
70,icml,5,0.44
70,icml,6,0.43
70,icml,7,0.47
70,icml,8,0.5
70,icml,9,0.44
80,icml,1,0.34
80,icml,2,0.36
80,icml,3,0.36
80,icml,4,0.4
80,icml,5,0.38
80,icml,6,0.22
80,icml,7,0.29
80,icml,8,0.38
80,icml,9,0.48
80,lava,1,0.28
80,lava,2,0.24
80,lava,3,0.24
80,lava,4,0.26
80,lava,5,0.23
80,lava,6,0.27
80,lava,7,0.22
80,lava,8,0.31
80,lava,9,0.3